Source,Source Name,Target,Target Name,Weight,Type
10000010,George Abbot,10010702,Arthur Saul,52,Undirected
10000010,George Abbot,10010729,George Savile,65,Undirected
10000010,George Abbot,10010733,Henry Savile,61,Undirected
10000010,George Abbot,10010734,Henry Savile,24,Undirected
10000010,George Abbot,10010735,Henry Savile,18,Undirected
10000010,George Abbot,10010754,Joseph Justus Scaliger,22,Undirected
10000010,George Abbot,10011085,Robert Sibthorpe,25,Undirected
10000010,George Abbot,10011145,Richard Skeffington,39,Undirected
10000010,George Abbot,10011182,Peter Smart,52,Undirected
10000010,George Abbot,10011226,Miles Smith,51,Undirected
10000010,George Abbot,10011297,Edward Somerset,11,Undirected
10000010,George Abbot,10011325,Robert Southwell,39,Undirected
10000010,George Abbot,10011326,Robert Southwell,66,Undirected
10000010,George Abbot,10011354,Henry Spelman,35,Undirected
10000010,George Abbot,10011386,John Spottiswoode,33,Undirected
10000010,George Abbot,10011398,George Sprot,51,Undirected
10000010,George Abbot,10011419,Warham St Leger,21,Undirected
10000010,George Abbot,10011589,Richard Stock,60,Undirected
10000010,George Abbot,10011612,John Story,35,Undirected
10000010,George Abbot,10011613,John Story,16,Undirected
10000010,George Abbot,10011667,Arabella Stuart,22,Undirected
10000010,George Abbot,10011670,Charles Stuart,83,Undirected
10000010,George Abbot,10011677,Frances Stuart,27,Undirected
10000010,George Abbot,10011681,James Stuart,100,Undirected
10000010,George Abbot,10011712,Matthew Sutcliffe,28,Undirected
10000010,George Abbot,10011725,Thomas Sutton,16,Undirected
10000010,George Abbot,10011844,William Temple,14,Undirected
10000010,George Abbot,10011854,Thomas Tesdale,50,Undirected
10000010,George Abbot,10011898,Raphael Thorius,43,Undirected
10000010,George Abbot,10011899,John Thornborough,59,Undirected
10000010,George Abbot,10012106,William Trumbull,62,Undirected
10000010,George Abbot,10012117,Elizabeth Tudor,43,Undirected
10000010,George Abbot,10012172,William Twisse,51,Undirected
10000010,George Abbot,10012226,James Ussher,56,Undirected
10000010,George Abbot,10012252,Thomas Vane,44,Undirected
10000010,George Abbot,10012309,Horace Vere,35,Undirected
10000010,George Abbot,10012357,George Villiers,67,Undirected
10000010,George Abbot,10012358,George Villiers,23,Undirected
10000010,George Abbot,10012372,Richard Vines,44,Undirected
10000010,George Abbot,10012529,Samuel Ward,18,Undirected
10000010,George Abbot,10012530,Samuel Ward,14,Undirected
10000010,George Abbot,10012549,John Warner,51,Undirected
10000010,George Abbot,10012679,Agnes Wenman,57,Undirected
10000010,George Abbot,10012819,James Whitelocke,16,Undirected
10000010,George Abbot,10012848,Rowland Whyte,51,Undirected
10000010,George Abbot,10012862,Edward Wightman,30,Undirected
10000010,George Abbot,10012905,Andrew Willet,18,Undirected
10000010,George Abbot,10012914,Griffith Williams,76,Undirected
10000010,George Abbot,10012919,John Williams,11,Undirected
10000010,George Abbot,10013025,Ralph Winwood,35,Undirected
10000010,George Abbot,10013084,Anthony Wood,33,Undirected
10000010,George Abbot,10013140,Matthew Wren,21,Undirected
10000010,George Abbot,10013141,Matthew Wren,15,Undirected
10000010,George Abbot,10013172,Mary Wroth,20,Undirected
10000010,George Abbot,10013202,John Wynn,52,Undirected
10000010,George Abbot,10013255,John Young,31,Undirected
10000010,George Abbot,10013256,John Young,61,Undirected
10000010,George Abbot,10013257,Patrick Young,30,Undirected
10000010,George Abbot,10013267,Edward la Zouche,71,Undirected
10000010,George Abbot,10013271,Anne ,12,Undirected
10000010,George Abbot,10013279,Frederick ,56,Undirected
10000011,John Abbot,10000013,Robert Abbot,36,Undirected
10000011,John Abbot,10000014,Robert Abbot,16,Undirected
10000011,John Abbot,10003115,Nicholas Culpeper,56,Undirected
10000011,John Abbot,10003191,Simonds D'Ewes,21,Undirected
10000011,John Abbot,10004045,John Evelyn,25,Undirected
10000011,John Abbot,10004046,John Evelyn,15,Undirected
10000011,John Abbot,10005872,Arthur Hesilrige,18,Undirected
10000011,John Abbot,10006076,Denzil Holles,13,Undirected
10000011,John Abbot,10010318,Antony Rivers,49,Undirected
10000011,John Abbot,10011052,James Shirley,56,Undirected
10000011,John Abbot,10011414,Oliver St John,25,Undirected
10000011,John Abbot,10011415,Oliver St John,13,Undirected
10000011,John Abbot,10011487,Philip Stapleton,36,Undirected
10000012,Maurice Abbot,10000013,Robert Abbot,77,Undirected
10000012,Maurice Abbot,10000014,Robert Abbot,35,Undirected
10000012,Maurice Abbot,10000335,Robert Ashley,40,Undirected
10000012,Maurice Abbot,10000775,John Bate,33,Undirected
10000012,Maurice Abbot,10000874,William Bedell,43,Undirected
10000012,Maurice Abbot,10001099,William Bishop,14,Undirected
10000012,Maurice Abbot,10001508,Nathanael Brent,52,Undirected
10000012,Maurice Abbot,10001962,William Camden,37,Undirected
10000012,Maurice Abbot,10002086,Dudley Carleton,46,Undirected
10000012,Maurice Abbot,10002088,George Carleton,18,Undirected
10000012,Maurice Abbot,10002178,John Case,45,Undirected
10000012,Maurice Abbot,10002570,Christopher Clitherow,48,Undirected
10000012,Maurice Abbot,10002625,William Cokayne,46,Undirected
10000012,Maurice Abbot,10002628,John Coke,14,Undirected
10000012,Maurice Abbot,10003216,Thomas Dale,48,Undirected
10000012,Maurice Abbot,10003259,Samuel Daniel,38,Undirected
10000012,Maurice Abbot,10003305,John Davenport,25,Undirected
10000012,Maurice Abbot,10003504,Dudley Digges,94,Undirected
10000012,Maurice Abbot,10003505,Dudley Digges,41,Undirected
10000012,Maurice Abbot,10003801,John Durie,43,Undirected
10000012,Maurice Abbot,10004158,Daniel Featley,46,Undirected
10000012,Maurice Abbot,10004612,Thomas Fuller,12,Undirected
10000012,Maurice Abbot,10004613,Thomas Fuller,24,Undirected
10000012,Maurice Abbot,10004705,William Garway,18,Undirected
10000012,Maurice Abbot,10004894,Thomas Goad,13,Undirected
10000012,Maurice Abbot,10004895,Thomas Goade,30,Undirected
10000012,Maurice Abbot,10005479,William Hammond,52,Undirected
10000012,Maurice Abbot,10005908,Thomas Heywood,52,Undirected
10000012,Maurice Abbot,10006434,Richard Hutton,43,Undirected
