Robert Abbot,Henry Yelverton,33
Robert Abbot,William Allen,52
Robert Abbot,Lancelot Andrewes,16
Robert Abbot,Henry Baker,53
Robert Abbot,John Bastwick,18
Robert Abbot,Richard Baxter,11
Robert Abbot,Sebastian Benefield,14
Robert Abbot,Thomas Bilson,15
Robert Abbot,Henry Burton,22
Robert Abbot,John Case,15
Robert Abbot,John Chamberlain,18
Robert Abbot,Francis Cheynell,26
Robert Abbot,Gervase Clifton,12
Robert Abbot,Edward Corbet,14
Robert Abbot,John Cosin,21
Robert Abbot,Richard Crakanthorpe,17
Robert Abbot,Walter Curll,52
Robert Abbot,John Davenport,15
Robert Abbot,Edward Dering,28
Robert Abbot,Edward Dering,14
Robert Abbot,Marco Antonio de Dominis,31
Robert Abbot,Samuel Drake,59
Robert Abbot,Ralph Eure,18
Robert Abbot,Daniel Featley,24
Robert Abbot,Richard Field,17
Robert Abbot,Samuel Fisher,12
Robert Abbot,John Goodwin,13
Robert Abbot,John Hacket,28
Robert Abbot,Joseph Hall,17
Robert Abbot,James Hay,16
Robert Abbot,Peter Heylyn,22
Robert Abbot,John Howson,30
Robert Abbot,John Lambe,11
Robert Abbot,Thomas Lambe,28
Robert Abbot,Benjamin Lany,26
Robert Abbot,William Laud,73
Robert Abbot,Thomas Morton,34
Robert Abbot,Richard Mountague,25
Robert Abbot,George Mountain,18
Robert Abbot,Richard Neile,50
Robert Abbot,William Page,51
Robert Abbot,Gregorio Panzani,18
Robert Abbot,John Parkhurst,16
Robert Abbot,William Prynne,17
Robert Abbot,John Pym,54
Robert Abbot,Thomas Ridley,27
Robert Abbot,Miles Smith,22
Robert Abbot,James Stuart,50
Robert Abbot,Matthew Sutcliffe,18
Robert Abbot,Elizabeth Tudor,11
Robert Abbot,Richard Weston,11
Robert Abbot,Francis White,15
Robert Abbot,Francis White,15
Robert Abbot,Francis White,13
Robert Abbot,James Whitelocke,34
Robert Abbot,Edward Wightman,11
Robert Abbot,John Williams,22
Robert Abbot,John Williams,15
Robert Abbot,Henry Yelverton,20
George Abbott,Isaac Bargrave,25
George Abbott,John Boys,27
George Abbott,Henry Brooke,32
George Abbott,Henry Burton,47
George Abbott,Salomon de Caus,45
George Abbott,Edward Chetwynd,52
George Abbott,Richard Cromwell,23
George Abbott,Henry Jaye,41
George Abbott,Charles Lewis,65
George Abbott,Thomas Neville,26
George Abbott,William Purefoy,67
George Abbott,Charles Stuart,68
George Abbott,James Stuart,63
George Abbott,Richard Vines,49
George Abbott,Frederick ,63
John Abel,Thomas Blount,37
John Abel,Thomas Blount,51
John Abel,John Price,22
John Abel,John Price,16
John Abel,John Price,11
John Abel,Rowland Vaughan,34
John Abel,John Webb,38
Adam Abell,Robert Cairncross,35
Adam Abell,Archibald Douglas,40
Adam Abell,Hugh Montgomery,12
Adam Abell,James Stewart,14
Thomas Abell,Robert Barnes,19
Thomas Abell,Elizabeth Barton,26
Thomas Abell,Edward Bocking,12
Thomas Abell,Thomas Bourchier,20
Thomas Abell,John Capon,31
Thomas Abell,John Clerk,19
Thomas Abell,Richard Fetherston,41
Thomas Abell,John Fisher,37
Thomas Abell,John Foxe,18
Thomas Abell,Stephen Gardiner,42
Thomas Abell,Henry Gold,23
Thomas Abell,Richard Hilles,19
Thomas Abell,John Husee,20
Thomas Abell,William Jerome,74
Thomas Abell,Hugh Latimer,12
Thomas Abell,John Longland,20
Thomas Abell,Richard Master,20
Thomas Abell,Thomas More,26
Thomas Abell,Edward Powell,50
Thomas Abell,Henry Tudor,68
Thomas Abell,Cuthbert Tunstal,22
Thomas Abell,Thomas Wolsey,34
Thomas Abell,Thomas Wolsey,12
William Abell,John Bastwick,39
William Abell,Henry Burton,73
William Abell,Arthur Duck,36
William Abell,James Hamilton,13
William Abell,Peter Heylyn,31
William Abell,Richard Kilvert,93
William Abell,John Lenthall,42
William Abell,Isaac Penington,24
William Abell,William Prynne,38
Isaac Abendana,Jacob Abendana,80
Isaac Abendana,Edward Bernard,45
Isaac Abendana,Edmund Castell,24
Isaac Abendana,Arthur Charlett,51
Isaac Abendana,William Dugard,17
Isaac Abendana,John Durie,45
Isaac Abendana,Samuel Hartlib,32
Isaac Abendana,John Lightfoot,50
Isaac Abendana,Edward Pococke,40
Isaac Abendana,Edward Pococke,60
Isaac Abendana,Thomas Tanner,49
Isaac Abendana,Joseph Williamson,13
Jacob Abendana,Thomas Barlow,38
Jacob Abendana,Thomas Barlow,13
Jacob Abendana,Robert Boyle,50
Jacob Abendana,Arthur Charlett,20
Jacob Abendana,John Durie,70
Jacob Abendana,Samuel Hartlib,66
Jacob Abendana,John Lightfoot,22
Jacob Abendana,Henry Oldenburg,50
Jacob Abendana,Thomas Tanner,21
David Abercromby,Patrick Abercromby,56
David Abercromby,Robert Boyle,56
David Abercromby,George Crawfurd,15
David Abercromby,Daniel Defoe,13
David Abercromby,John Menzies,55
David Abercromby,Alexander Nisbet,13
Patrick Abercromby,George Crawfurd,42
Patrick Abercromby,Daniel Defoe,42
Patrick Abercromby,William Drummond,22
Patrick Abercromby,Thomas Hearne,19
Patrick Abercromby,Henry Home,23
Patrick Abercromby,Alexander Nisbet,44
Patrick Abercromby,Thomas Ruddiman,72
Patrick Abercromby,John Sage,15
Patrick Abercromby,James Watson,22
Robert Abercromby,James Beaton,25
Robert Abercromby,Robert Crichton,13
Robert Abercromby,William Crichton,31
Robert Abercromby,Edmund Hay,76
Robert Abercromby,William Parry,11
Robert Abercromby,Robert Persons,21
Robert Abercromby,James Stuart,62
Robert Abercromby,Elizabeth Tudor,18
John Abernethy,Patrick Adair,43
John Abernethy,James Arbuckle,21
John Abernethy,William Boyd,49
John Abernethy,Joseph Boyse,57
John Abernethy,Michael Bruce,59
John Abernethy,George Campbell,43
John Abernethy,John Carteret,39
John Abernethy,Samuel Clarke,56
John Abernethy,Thomas Drennan,48
John Abernethy,Thomas Emlyn,44
John Abernethy,Samuel Haliday,98
John Abernethy,Samuel Hemphill,41
